timestamp,speaker,words,tags,timelink,
[01:28:20],DB,"OK, well, the last kind of group of questions I have are about the Photoems and, um, but I guess you have a number of different... I was thinking of these as being your sort of primary computer assisted project, but you have several going at the same time, so you use, including the collected, uh, your novella, are there other projects as well? OK, and are they, um, are they supplanting your fiction and poetry writing or are they sort of just 'in addition to'?",,,Photoems and other Computer Enhanced Projects/Writings/Art
,NVW,I'm wrestling with this question myself.,,,
,DB,OK,,,
,NVW,"I think the poetry right now, new poetry, is kind of going into the these altered book pages that I'm doing. I have four, four of those projects going on right now.",change;,,
,NVW,"And, um, I am working on a book of regular poems (those prose poems).",,,
,NVW,"But all the fiction I'm working on right now are all e-books now. I've just completed a novella, not this one, but a different one that's an e-book that's um in the form of a scrapbook form, photograph album.",,,
,NVW,And that's the one I'm trying to talk to agents about.,,,
,DB,"OK, OK. And they're going to... And you have only, you don't expect any physical form at all, you just...",,,
,NVW,"This is the question that we are trying to work through. I don't care about seeing it as a print book. Um, but apparently publishers don't want to take a book unless it can also have it as a print book, because they don't make any money on e-books -",mss,,
,DB,Yes,,,
,NVW,- so -,,,
,DB,"You can blame Amazon, right?",,,
,NVW,"Yeah, so an agent doesn't want to take me on as a client unless I am doing the print book. And the e-book is the sort of bonus.",,,
,NVW,"So that's what we're kind of going around and around about and I then think, ""Well, maybe I'll just go out there and do it on my own, or try to do it with an e-book publisher who is just doing that."" So I'm just trying... I'm just &#8230; I am just... This is all new to me, new territory and I'm just trying to navigate it myself right now. I don't know what I'm doing.",,,
,DB,"But in terms of like the process and the composition and everything, it still seems pretty much, you know, computer or non-computer, like it's still like the kind of - Well, I mean the computer's a big part of it, but still writing the notebook and pushing it in, or is it a lot of that still happening - Are the e-books happening on the computer?",,,
,NVW,"No, I'm still writing the text part in the notebook.",,,
,DB,"OK. Um, how does the sort of visual aspect relate back to your writing especially sort of maybe... I mean you use a lot of imagery in your poems and in your fiction, but now you are actually using images -",revision; change,,
,NVW,Yes!,revision; change,,
,DB,- so what's that feel like? I mean are you using them in the same ways you used imagery or is it a totally different...?,revision; change,,
,NVW,"Well, I mean, you hit it right on t&#8230;he head That's it exactly, I mean everything I loved about poetry, you know, the image thing - now I'm making actual images. And, you know, I'm putting a little bit of text in there, and you know, now I'm starting to wrestle with well that's too much text.",revision; change,,
,NVW,"You know, it's... Everything that's happening now has gotten to be less, less, and less text. I'm trying to find the right balance between the visual component on the piece and that sort of means minimal text, I think, so that they don't fight each other.",revision; change,,
,DB,"I mean, so what is like... How do you find the right language for that? I mean that seems like a different, almost a different thing than writing poetry.",,,
,NVW,"Yeah, yeah. I mean...",,,
,DB,It's like placing...,,,
,NVW,"This is what, for me, when I turn 60 and I'm doing this work, it's made it exciting again, like when I was 20.",change; career,,
,DB,Yeah,,,
,NVW,"Because I am... Language has gotten, it's been refreshed by this new sort of interjection of the actual visual material in the same location with the text.",change; career,,
,DB,Right,,,
,NVW,"And it's made it like a brand new thing for me and I'm just, I don't know, I feel like I'm, ""Oh good. Now I can get through to my 80s OK without being bored.""",change; career,,
,DB,"Now, if you didn't... So kind of two part question, if you didn't have that facility with the computer that you have and that you developed from working with PageMaker and/or if you just had not worked with a computer, do you think you would've turned to visual art in a physical format?",,,
,NVW,"No, it would've been too much to learn, I think. I mean, it still feels like a lot to learn. I mean, I take classes every week. I'm taking online classes. I mean, I still can't get how to do text on a path. What's wrong with me?! I can't make my paths good.",,,
,DB,"Yeah, I am no Photoshop expert.",,,
,NVW,"Yeah, well anyways I take these little online classes through Photoshop.",,,
,DB,"Do you take any... I mean, your husband's an artist, do you take any sort of art instruction as well I mean -",,,
,NVW,"Yes. Oh, yes. From him. Yeah, and I've been taking like regular college classes, too.",career,,
,NVW,"When I taught at Bucknell for a semester - when they asked me to come out there, I said, ""Well, yes, I'll come. But, do you think it'll be alright if I sat in on an art class while I'm there? "" I wanted to take some kind of photography class. But, they weren't offering anything so I took a film editing class instead. But, anyway I just, I felt like I just needed to be in that environment with visual artists where they're talking about composition - because that's, I was starting at the path, the beginning place - just composition and design.",career,,
,NVW,"And my husband comes in, I invite him to come home early a couple nights and month and I supply him with some wine. He sits here and I show him the pieces that I'm working on, some of these Photoems or whatever.",revision,,
,NVW,"And I'll say, ""Just, if you don't like a piece, just tell me and we'll move on.""",revision,,
,NVW,"So this is what he'll do, he'll go, ""Next."" But then, when he likes a piece he'll explain to me what he thinks is working and it's all about composition and design. And that's what I needed -",revision,,
,DB,"And so that's a big part of your education, too.",,,
,NVW,That's what I needed to learn.,,,
